field,intended_role,actual_role,model_visible,pre_inference,post_inference,validator_access,metrics_access,risk,source_locations,notes
possible_misconception,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:238,271,304,337; metrics.py:272; validate_vietcsharptutor.py:133,139","Quan niệm sai lầm sư phạm. RÒ RỈ NGHIÊM TRỌNG: Gán trực tiếp sang pred['possible_misconception'] của Proposed D (dòng 337), tạo ra Misconception Accuracy giả mạo."
reference_diagnosis,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,No,Yes,No,HIGH,"runner.py:275,308,341; validate_vietcsharptutor.py:157","Lời chẩn đoán mẫu của chuyên gia. Không dùng trong metrics so sánh nhưng bị sao chép trực tiếp vào output predictions của Baseline B, Proposed C và D."
evidence,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:236,269,302,335; metrics.py:256; validate_vietcsharptutor.py:131,147","Chuỗi code chứng cứ gây lỗi. RÒ RỈ NGHIÊM TRỌNG: Gán trực tiếp sang pred['evidence'] của Proposed D (dòng 335), khiến chỉ số Evidence Faithfulness đạt 100% nhân tạo."
hint_1,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,HIGH,"runner.py:305,338; metrics.py:111,131; validate_vietcsharptutor.py:157",Gợi ý định hướng bậc 1. Bị chép thẳng từ ground truth sang prediction ở C và D; được metrics dùng đo Solution Leakage và Hint Policy Compliance.
hint_2,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,HIGH,"runner.py:306,339; metrics.py:111,132; validate_vietcsharptutor.py:157",Gợi ý khái niệm bậc 2. Bị chép thẳng sang prediction ở C và D; được metrics dùng đo Solution Leakage và Hint Policy Compliance.
hint_3,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,HIGH,"runner.py:274,307,340; metrics.py:133; validate_vietcsharptutor.py:157","Gợi ý hành động bậc 3. Bị chép thẳng sang prediction ở B, C, D; được metrics dùng đo Hint Policy Compliance."
reference_solution,GROUND_TRUTH_ONLY,GROUND_TRUTH_LEAKED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:239; ablation.py:249,265,305,321; metrics.py:108,264; validate_vietcsharptutor.py:158","Mã giải pháp hoàn chỉnh chuẩn. RÒ RỈ CỰC KỲ NGHIÊM TRỌNG: Runner đọc trước suy luận và nhúng trực tiếp vào hint_1 của Baseline A (runner.py:239) và ablation (ablation.py:265,321)."
explanation_vi,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,No,Yes,No,HIGH,"runner.py:276,309,342; validate_vietcsharptutor.py:158","Giải thích sư phạm toàn diện. Không có metric đánh giá nhưng bị sao chép trực tiếp vào output predictions của Baseline B, Proposed C và D."
source_type,EVALUATION_METADATA,EVALUATION_METADATA,No,No,No,Yes,No,SAFE,validate_vietcsharptutor.py:108,"Nguồn gốc mẫu (expert_authored, controlled_mutation,...). Metadata lưu vết xuất xứ (provenance), không ảnh hưởng kết quả thực nghiệm."
split,EVALUATION_METADATA,EVALUATION_METADATA,No,Yes,No,Yes,No,SAFE,"runner.py:120; validate_vietcsharptutor.py:105,199","Phân vùng đánh giá (dev, validation, test). Được runner dùng ở pre-inference để lọc mẫu nạp vào bộ nhớ RAM."
review_status,EVALUATION_METADATA,UNUSED,No,No,No,Yes,No,SAFE,validate_vietcsharptutor.py:111,"Trạng thái thẩm định ('reviewed'). Chỉ có validator kiểm tra định dạng enum, hoàn toàn không tham gia vào luồng suy luận hay chấm điểm."
